assmNum,assmName,level1,level2,level3,matchType
2692,5' drop n1 emt s/s strap 9',Feeder,EMT Drops,S/S Drops Strap,unique
2698,5' drop n1/0 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2704,5' drop n2/0 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2710,5' drop n3/0 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2716,5' drop n4/0 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2722,5' drop n250 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2728,5' drop n300 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2734,5' drop n350 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2740,5' drop n400 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2746,5' drop n500 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2752,5' drop n600 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2758,5' drop n750 emt s/s strap,Feeder,EMT Drops,S/S Drops Strap,unique
2764,n14 emt s/s/i strap,Branch,EMT,"S/S, Strap",unique
2773,n12 emt s/s/i strap,Branch,EMT,"S/S, Strap",unique
2782,n10 emt s/s/i strap,Branch,EMT,"S/S, Strap",unique
2819,emt s/c strap,Branch,EMT,"S/C, Strap",distance
2831,emt s/c strap concrete,Branch,EMT,"S/C, Strap Concrete",distance
2843,emt s/c beam clamp,Branch,EMT,S/C Beam Clamp,distance
3041,n14 emt s/c strap,Branch,EMT,"S/C, Strap",unique
3050,n12 emt s/c strap,Branch,EMT,"S/C, Strap",unique
3059,n10 emt s/c strap,Branch,EMT,"S/C, Strap",unique
3068,n8 emt s/c strap,Branch,EMT,"S/C, Strap",unique
3075,n6 emt s/c strap,Branch,EMT,"S/C, Strap",unique
3081,n4 emt s/c strap,Branch,EMT,"S/C, Strap",unique
3087,n3 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3093,n2 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3099,n1 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3105,n1/0 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3111,n2/0 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3117,n3/0 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3123,n4/0 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3129,n250 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3135,n300 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3141,n350 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3147,n400 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3153,n500 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3159,n600 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3165,n750 emt s/c strap,Feeder,EMT,"S/C, Strap",unique
3174,n14 emt s/c strap concrete,Branch,EMT,"S/C, Strap Concrete",unique
3183,n12 emt s/c strap concrete,Branch,EMT,"S/C, Strap Concrete",unique
3192,n10 emt s/c strap concrete,Branch,EMT,"S/C, Strap Concrete",unique
3201,n8 emt s/c strap concrete,Branch,EMT,"S/C, Strap Concrete",unique
3208,n6 emt s/c strap concrete,Branch,EMT,"S/C, Strap Concrete",unique
3214,n4 emt s/c strap concrete,Branch,EMT,"S/C, Strap Concrete",unique
3220,n3 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3226,n2 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3232,n1 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3238,n1/0 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3244,n2/0 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3250,n3/0 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3256,n4/0 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3262,n250 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3268,n300 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
3274,n350 emt s/c strap concrete,Feeder,EMT,"S/C, Strap Concrete",unique
