Item Name,Price Per foot or Unit,Bid Labor Per Foot or Unit
8/3 AL MC CABLE W/ GRN ,5.0568,0.032
8/4 AL MC CABLE W/ GRN ,5.796,0.039
6/2 AL MC CABLE W/ GRN ,5.4936,0.032
6/3 AL MC CABLE W/ GRN ,6.7704,0.038
6/4 AL MC CABLE W/ GRN ,9.5928,0.045
4/3 AL MC CABLE W/ GRN ,10.7016,0.05
4/4 AL MC CABLE W/ GRN ,10.5,0.06
3/3 AL MC CABLE W/ GRN ,13.3728,0.055
3/4 AL MC CABLE W/ GRN ,13.8264,0.062
2/3 AL MC CABLE W/ GRN ,17.5224,0.062
2/4 AL MC CABLE W/ GRN ,19.5384,0.066
mc al cable w/str al wi,,
MC-AL-4-4-4-6-STR-AL 75,3.8976,0.0361
MC-AL-2-2-2-6-STR-AL 10,3.9816,0.0437
MC-AL-1-1-1-4-STR-AL 11,18.144,0.0475
MC-AL-1/0-3&4-STR-AL 13,8.7024,0.05225
MC-AL-2/0-3&4-STR-AL 15,12.264,0.057
MC-AL-3/0-3&4-STR-AL 17,15.708,0.06175
MC-AL-4/0-3&2-STR-AL 20,21.3864,0.0665
MC-AL-250-3&2-STR-AL 23,21.85414,0.07125
MC-AL-300-3&2-STR-AL 25,6.73176,0.076
MC-AL-350-3&2-STR-AL 28,7.61487,0.0855
MC-AL-400-3&1-STR-AL 30,33.17181,0.0905
MC-AL-500-3&1-STR-AL 35,36.18563,0.095
MC-AL-600-3&1-STR-AL 38,13.60121,0.105
MC-AL-750-3&1/0-STR-AL ,52.30285,0.114
mc al pvc cable w/ al w,,
mc pvc ctd armor cable ,,
MC-AL-6-6-6-6-AL-PVC,6.73364,0.0323
MC-AL-4-4-4-6-AL-PVC,7.21813,0.0361
MC-AL-2-2-2-6-AL-PVC,2.61758,0.0437
MC-AL-1-1-1-4-AL-PVC,11.57573,0.0475
MC-AL-1/0-3&4-AL-PVC,16.0104,0.05225
MC-AL-2/0-3&4-AL-PVC,18.48,0.057
MC-AL-3/0-3&4-AL-PVC,21,0.06175
MC-AL-4/0-3&2-AL-PVC,23.4528,0.0665
MC-AL-250-3&2-AL-PVC,32.676,0.07125
MC-AL-350-3&2-AL-PVC,41.3952,0.0855
