Report Name:,,,,,Assemblies & Byproducts  (Permanent),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Assemblies+ByProducts,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.05,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,16,   3 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$8,880.02",,,M,9.00,,M,,,,
,"1,998",    1 EMT 1 HOLE STP/ST,,,,0.13,,,0.00,,$76.58,,,C,3.00,,C,,,,
,"8,445",    1 PVC MALE TERM,,,,0.05,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"8,828",,"4 #3 1 1/4"" PVC  STRAP",,,,$38.21, ,,0.104,, ,$36.03,,, ,,$40.54,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,16,   3 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$8,880.02",,,M,9.00,,M,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,829",,"4 #3 & 1 #8  1 1/4"" PVC STR",,,,$40.90, ,,0.110,, ,$38.53,,, ,,$43.35,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,13,   8 THHN CU STRANDED 5,,,,1.00,,,0.00,,"$2,691.24",,,M,6.00,,M,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,16,   3 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$8,880.02",,,M,9.00,,M,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,831",,n2 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,832",,"3 #2   1"" PVC STRAP",,,,$35.14, ,,0.084,, ,$32.76,,, ,,$36.85,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,977",    1 PVC 40,,,,1.00,,,0.00,,$135.97,,,C,4.00,,C,,,,
,"4,588",    1 LOCKNUT,,,,0.05,,,0.00,,$133.56,,,C,10.00,,C,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.13,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"5,855",12 X 1-1/4 COMB PAN HD ,,,,0.13,,,0.00,,$4.82,,,C,0.00,,X,,,,
,"1,998",    1 EMT 1 HOLE STP/ST,,,,0.13,,,0.00,,$76.58,,,C,3.00,,C,,,,
,17,   2 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$11,115.02",,,M,10.00,,M,,,,
,"8,445",    1 PVC MALE TERM,,,,0.05,,,0.00,,$142.48,,,C,10.10,,C,,,,
,"8,833",,"3 #2 & 1 #6  1 1/4"" PVC STR",,,,$40.64, ,,0.105,, ,$38.14,,, ,,$42.90,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,17,   2 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$11,115.02",,,M,10.00,,M,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,834",,"4 #2 1 1/4"" PVC STRAP",,,,$47.15, ,,0.108,, ,$43.79,,, ,,$49.26,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,17,   2 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$11,115.02",,,M,10.00,,M,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,835",,"4 #2 & 1 #6 1 1/4"" PVC STRA",,,,$51.75, ,,0.115,, ,$47.94,,, ,,$53.93,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,17,   2 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$11,115.02",,,M,10.00,,M,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,837",,n1 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,838",,"3 #1   1 1/4"" PVC  STRAP",,,,$39.85, ,,0.101,, ,$37.33,,, ,,$41.99,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,18,   1 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$12,385.51",,,M,11.00,,M,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,839",,"3 #1 & 1 #6 1 1/4"" PVC STRA",,,,$44.45, ,,0.108,, ,$41.48,,, ,,$46.67,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,18,   1 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$12,385.51",,,M,11.00,,M,,,,
,"8,840",,"4 #1 1 1/4"" PVC STRAP",,,,$52.23, ,,0.112,, ,$48.25,,, ,,$54.28,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,18,   1 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$12,385.51",,,M,11.00,,M,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,841",,"4 #1 & 1 #6  1 1/2"" PVC STR",,,,$57.15, ,,0.134,, ,$53.18,,, ,,$59.82,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"5,306",1 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$221.68,,,C,4.00,,C,,,,
,18,   1 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$12,385.51",,,M,11.00,,M,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,843",,n1/0 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,844",,"3 #1/0   1 1/4"" PVC STRAP",,,,$48.18, ,,0.110,, ,$44.73,,, ,,$50.32,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,909",1/4 FLAT STEEL WASHER,,,,0.25,,,0.00,,$156.87,,,C,0.00,,X,,,,
,"6,056",HEX LAG BLT 1/4X1-1/4,,,,0.25,,,0.00,,$10.85,,,C,5.00,,C,,,,
,"7,978",1 1/4 PVC 40,,,,1.00,,,0.00,,$206.03,,,C,5.00,,C,,,,
,19, 1/0 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$15,163.94",,,M,14.00,,M,,,,
,"5,305",1 1/4 GRC 2H STL STP,,,,0.13,,,0.00,,$170.38,,,C,4.00,,C,,,,
,"8,845",,"3 #1/0  & 1 #6  1 1/2"" PVC ",,,,$53.10, ,,0.132,, ,$49.66,,, ,,$55.87,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,19, 1/0 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$15,163.94",,,M,14.00,,M,,,,
,"5,306",1 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$221.68,,,C,4.00,,C,,,,
,"8,846",,"4 #1/0  1 1/2"" PVC STRAP",,,,$63.66, ,,0.139,, ,$58.89,,, ,,$66.26,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,19, 1/0 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$15,163.94",,,M,14.00,,M,,,,
,"5,306",1 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$221.68,,,C,4.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,847",,"4 #1/0  & 1 #6  1 1/2"" PVC ",,,,$68.26, ,,0.146,, ,$63.05,,, ,,$70.93,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,19, 1/0 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$15,163.94",,,M,14.00,,M,,,,
,"5,306",1 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$221.68,,,C,4.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,849",,n2/0 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,850",,"3 #2/0   1 1/2"" PVC STRAP",,,,$59.04, ,,0.131,, ,$54.69,,, ,,$61.53,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,20, 2/0 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$18,679.13",,,M,16.00,,M,,,,
,"5,306",1 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$221.68,,,C,4.00,,C,,,,
,"8,851",,"3 #2/0  & 1 #6  1 1/2"" PVC ",,,,$63.64, ,,0.138,, ,$58.84,,, ,,$66.20,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"7,979",1 1/2 PVC 40,,,,1.00,,,0.00,,$220.36,,,C,6.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,20, 2/0 THHN CU STRANDED 1,,,,3.00,,,0.00,,"$18,679.13",,,M,16.00,,M,,,,
,"5,306",1 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$221.68,,,C,4.00,,C,,,,
,"8,852",,"4 #2/0  2"" PVC STRAP",,,,$78.24, ,,0.157,, ,$71.92,,, ,,$80.91,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,20, 2/0 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$18,679.13",,,M,16.00,,M,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,853",,"4 #2/0  & 1 #6  2"" PVC STRA",,,,$82.85, ,,0.164,, ,$76.08,,, ,,$85.59,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,20, 2/0 THHN CU STRANDED 1,,,,4.00,,,0.00,,"$18,679.13",,,M,16.00,,M,,,,
,"8,855",,n3/0 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,856",,"3 #3/0   2"" PVC STRAP",,,,$23.93, ,,0.153,, ,$25.51,,, ,,$28.70,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,21, 3/0 THHN CU STRANDED 2,,,,3.00,,,0.00,,$6.80,,,E,20.00,,M,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,857",,"3 #3/0  & 1 #6  2"" PVC STRA",,,,$28.53, ,,0.160,, ,$29.67,,, ,,$33.37,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,21, 3/0 THHN CU STRANDED 2,,,,3.00,,,0.00,,$6.80,,,E,20.00,,M,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,858",,"4 #3/0  2"" PVC STRAP",,,,$30.73, ,,0.173,, ,$31.98,,, ,,$35.97,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,21, 3/0 THHN CU STRANDED 2,,,,4.00,,,0.00,,$6.80,,,E,20.00,,M,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,859",,"4 #3/0  & 1 #6  2"" PVC STRA",,,,$35.33, ,,0.180,, ,$36.13,,, ,,$40.65,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,21, 3/0 THHN CU STRANDED 2,,,,4.00,,,0.00,,$6.80,,,E,20.00,,M,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,14,   6 THHN CU STRANDED 7,,,,1.00,,,0.00,,"$4,600.64",,,M,7.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,861",,n4/0 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,862",,"3 #4/0   2"" PVC STRAP",,,,$91.81, ,,0.159,, ,$83.55,,, ,,$93.99,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,22, 4/0 THHN CU STRANDED 2,,,,3.00,,,0.00,,"$29,426.33",,,M,22.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,863",,"3 #4/0  & 1 #4  2"" PVC STRA",,,,$98.85, ,,0.167,, ,$89.81,,, ,,$101.04,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,15,   4 THHN CU STRANDED 9,,,,1.00,,,0.00,,"$7,040.33",,,M,8.00,,M,,,,
,22, 4/0 THHN CU STRANDED 2,,,,3.00,,,0.00,,"$29,426.33",,,M,22.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,864",,"4 #4/0  2"" PVC STRAP",,,,$121.23, ,,0.181,, ,$109.36,,, ,,$123.02,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,22, 4/0 THHN CU STRANDED 2,,,,4.00,,,0.00,,"$29,426.33",,,M,22.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,865",,"4 #4/0  & 1 #4  2 1/2"" PVC ",,,,$134.04, ,,0.199,, ,$120.87,,, ,,$135.98,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,15,   4 THHN CU STRANDED 9,,,,1.00,,,0.00,,"$7,040.33",,,M,8.00,,M,,,,
,22, 4/0 THHN CU STRANDED 2,,,,4.00,,,0.00,,"$29,426.33",,,M,22.00,,M,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,0.25,,,6.00,,$122.10,,,C,0.00,,X,,,,
,"5,308",2 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$662.16,,,C,4.00,,C,,,,
,"7,981",2 1/2 PVC 40,,,,1.00,,,0.00,,$440.06,,,C,8.00,,C,,,,
,"6,070",HEX LAG BLT 3/8X1-1/4,,,,0.25,,,6.00,,"$1,503.60",,,C,7.00,,C,,,,
,"8,867",,n250 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
,"8,868",,"3 #250   2"" PVC  STRAP",,,,$105.82, ,,0.165,, ,$95.69,,, ,,$107.65,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,23, 250 THHN CU STRANDED 2,,,,3.00,,,0.00,,"$34,097.75",,,M,24.00,,M,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,869",,"3 #250  & 1 #4  2"" PVC STRA",,,,$112.86, ,,0.173,, ,$101.95,,, ,,$114.70,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,23, 250 THHN CU STRANDED 2,,,,3.00,,,0.00,,"$34,097.75",,,M,24.00,,M,,,,
,"5,307",    2 GRC 2H STL STP,,,,0.13,,,3.00,,$302.11,,,C,4.00,,C,,,,
,15,   4 THHN CU STRANDED 9,,,,1.00,,,0.00,,"$7,040.33",,,M,8.00,,M,,,,
,"5,910",5/16 FLAT STEEL WASHER,,,,0.25,,,6.00,,$193.32,,,C,0.00,,X,,,,
,"7,980",    2 PVC 40,,,,1.00,,,0.00,,$262.49,,,C,7.00,,C,,,,
,"6,063",HX LAG BLT 5/16X1-1/4,,,,0.25,,,6.00,,$16.80,,,C,7.00,,C,,,,
,"8,870",,"4 #250  2 1/2"" PVC STRAP",,,,$145.68, ,,0.199,, ,$130.79,,, ,,$147.14,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,23, 250 THHN CU STRANDED 2,,,,4.00,,,0.00,,"$34,097.75",,,M,24.00,,M,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,0.25,,,6.00,,$122.10,,,C,0.00,,X,,,,
,"5,308",2 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$662.16,,,C,4.00,,C,,,,
,"7,981",2 1/2 PVC 40,,,,1.00,,,0.00,,$440.06,,,C,8.00,,C,,,,
,"6,070",HEX LAG BLT 3/8X1-1/4,,,,0.25,,,6.00,,"$1,503.60",,,C,7.00,,C,,,,
,"8,871",,"4 #250  & 1 #4  2 1/2"" PVC ",,,,$152.72, ,,0.207,, ,$137.06,,, ,,$154.19,, ,
,Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
,23, 250 THHN CU STRANDED 2,,,,4.00,,,0.00,,"$34,097.75",,,M,24.00,,M,,,,
,15,   4 THHN CU STRANDED 9,,,,1.00,,,0.00,,"$7,040.33",,,M,8.00,,M,,,,
,"5,911","3/8"" FLAT STEEL WASHER",,,,0.25,,,6.00,,$122.10,,,C,0.00,,X,,,,
,"5,308",2 1/2 GRC 2H STL STP,,,,0.13,,,3.00,,$662.16,,,C,4.00,,C,,,,
,"7,981",2 1/2 PVC 40,,,,1.00,,,0.00,,$440.06,,,C,8.00,,C,,,,
,"6,070",HEX LAG BLT 3/8X1-1/4,,,,0.25,,,6.00,,"$1,503.60",,,C,7.00,,C,,,,
,"8,873",,n300 pvc strap,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,,
