Assm #,,Assm Name,,,,Material $'s,,,Labor Hours,,,Unit Price 1,,,,,Unit Price 2,,,
"30,069",,24.9/14.4 kv rus,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,070",,suspension angle,,,,$0.00, ,,0.000,, ,$0.00,,, ,,$0.00,, ,
,,,,,,,,,,,,,,,,,,,,
"30,071",,SUSPENSION ANGLE (RUS VA3.1,,,,$0.00, ,,1.720,, ,$57.79,,, ,,$65.02,, ,
Item #,Item Name,,,,BPQty,,,BPConst,,Price 1,,,,Bid Lbr,,,,,,
"36,903","3/4"" 3""X3"" FLAT SQ STL ",,,,2.00,,,0.00,,$0.00,,,E,0.00,,E,,,,
"37,087","4 1/4"" CLEVIS INSULATOR",,,,3.00,,,0.00,,$0.00,,,E,0.22,,E,,,,
"37,242","5/8"" X 10"" BOLT,  EYE O",,,,2.00,,,0.00,,$0.00,,,E,0.18,,E,,,,
"38,924","20000LBS 5/8"" PIN DIST ",,,,2.00,,,0.00,,$0.00,,,E,0.15,,E,,,,
"39,860","5/8"" LOCKNUT M-F CURVED",,,,2.00,,,0.00,,$0.00,,,C,20.00,,C,,,,
"30,072",,SUSPENSION ANGLE (RUS VA3.2,,,,$0.00, ,,1.800,, ,$60.48,,, ,,$68.04,, ,
